post,year,annual_peak_cm,annual_peak_date,spring_peak_cm,spring_peak_date,spring_min_cm,spring_amplitude_cm,max_rise_7d_cm_day,max_fall_7d_cm_day,rise_start_date,days_from_rise_to_peak,days_above_p90,days_above_p95,p90_level_cm,p95_level_cm,annual_peak_cm_z,spring_peak_cm_z,spring_amplitude_cm_z,max_rise_7d_cm_day_z,days_above_p90_z,days_above_p95_z
Киренск,2016,333.0,2016-05-26,333.0,2016-05-26,-7.0,340.0,24.142857142857142,-15.714285714285714,2016-05-04,22,19,4,244.10000000000036,312.0,-1.06917221904681,-1.0521789929806538,-1.0220951808075043,-1.1198988705250288,-0.7562278328908298,-0.8491533497816365
Киренск,2017,287.0,2017-05-28,287.0,2017-05-28,-40.0,327.0,20.285714285714285,-15.571428571428571,2017-05-02,26,5,0,244.10000000000036,312.0,-1.4899801084684423,-1.4760452977610377,-1.1483397162041558,-1.3499494231007838,-1.5090946531910336,-1.1181920348609669
Киренск,2018,449.0,2018-06-03,449.0,2018-06-03,-11.0,460.0,42.285714285714285,-24.285714285714285,2018-04-29,35,32,14,244.10000000000036,312.0,-0.008004497896607133,0.016701253856835775,0.14323899208466215,-0.037809234335367,-0.057137214040640476,-0.17655663708331057
Киренск,2019,357.0,2019-06-15,357.0,2019-06-15,-12.0,369.0,33.857142857142854,-21.0,2019-05-05,41,18,5,244.10000000000036,312.0,-0.8496202767398715,-0.8310313557039318,-0.7404727556918975,-0.5405122936675723,-0.8100040343408443,-0.7818936785118039
Киренск,2020,442.0,2020-05-03,442.0,2020-05-03,1.0,441.0,47.714285714285715,-26.285714285714285,2020-04-22,11,41,16,244.10000000000036,312.0,-0.0720404810694642,-0.0478001403488748,-0.04127225195659756,0.28596561743791776,0.4268485990094906,-0.042037294543645375
Киренск,2021,347.0,2021-06-09,347.0,2021-06-09,6.0,341.0,29.0,-16.285714285714285,2021-05-09,31,32,10,244.10000000000036,312.0,-0.9411002527010959,-0.9231762045692327,-1.0123840627000698,-0.8302055820963004,-0.057137214040640476,-0.44559532216264097
Киренск,2022,627.0,2022-06-05,627.0,2022-06-05,-14.0,641.0,35.857142857142854,-55.142857142857146,2022-05-04,32,55,13,244.10000000000036,312.0,1.6203390742131871,1.6568795636591904,1.9009513695303466,-0.42122682196162525,1.1797154193096946,-0.24381630835314316
Киренск,2023,500.0,2023-08-23,457.0,2023-05-14,0.0,457.0,64.85714285714286,-25.571428571428573,2023-05-07,7,68,52,244.10000000000036,312.0,0.4585433795056373,0.09041713294907644,0.11410563776235798,1.3084125177746062,1.878806038159884,2.379310871170328
Ленск,2008,858.0,2008-06-11,858.0,2008-06-11,26.0,832.0,76.42857142857143,-30.285714285714285,2008-05-12,30,44,19,566.0,677.5,-0.7449954753552313,-0.723630354508948,-0.8226345623881329,-1.4859384047039574,0.5958273594203285,0.19969817669385484
Ленск,2009,1353.0,2009-05-05,1353.0,2009-05-05,45.0,1308.0,174.14285714285714,-141.28571428571428,2009-05-03,2,51,30,566.0,677.5,1.662333845254084,1.6485353771594575,1.648838742206747,1.4526430736263845,0.9906951952491851,1.1496138279943535
Ленск,2010,1210.0,2010-05-15,1210.0,2010-05-15,41.0,1169.0,147.14285714285714,-72.14285714285714,2010-05-12,3,26,12,566.0,677.5,0.9668831526336151,0.9632430546774737,0.9271269998985783,0.64066661250879,-0.4195470755681603,-0.40479360140646253
Ленск,2011,1222.0,2011-05-03,1222.0,2011-05-03,38.0,1184.0,161.42857142857142,-124.57142857142857,2011-05-01,2,12,4,566.0,677.5,1.025242651315053,1.02075010271792,1.0050095620181647,1.0702837877032843,-1.2092827472258738,-1.0956413478068252
Ленск,2012,1066.0,2012-05-12,1066.0,2012-05-12,39.0,1027.0,135.14285714285714,-51.57142857142857,2012-05-11,1,71,47,566.0,677.5,0.26656916845635975,0.2731584781921194,0.1898387451664922,0.2797881853454146,2.1188890119030614,2.6176652890951244
Ленск,2013,1210.0,2013-05-08,1210.0,2013-05-08,7.0,1203.0,165.71428571428572,-91.85714285714286,2013-05-07,1,18,7,566.0,677.5,0.9668831526336151,0.9632430546774737,1.103660807369641,1.199168940261633,-0.8708246022297108,-0.8365734429066892
Ленск,2014,792.0,2014-04-28,792.0,2014-04-28,-12.0,804.0,102.14285714285714,-72.14285714285714,2014-04-26,2,11,2,566.0,677.5,-1.06597271810314,-1.039919118731402,-0.9680153450113612,-0.7126274893538677,-1.2656924380585675,-1.2683532844069159
Ленск,2015,803.0,2015-05-06,803.0,2015-05-06,1.0,802.0,106.42857142857143,-49.0,2015-05-04,2,36,19,566.0,677.5,-1.0124765109784886,-0.9872043246943263,-0.978399686627306,-0.5837423367955191,0.14454983275877792,0.19969817669385484
Ленск,2016,981.0,2016-05-13,981.0,2016-05-13,7.0,974.0,122.28571428571429,-83.14285714285714,2016-05-11,2,22,8,566.0,677.5,-0.14681061387049232,-0.13418311209437445,-0.08534630765604694,-0.10686727232963013,-0.6451858388989355,-0.7502174746066439
Ленск,2017,757.0,2017-07-17,722.0,2017-05-15,2.0,720.0,63.857142857142854,-34.0,2017-05-07,8,10,5,566.0,677.5,-1.2361879225906673,-1.375376898967338,-1.4041576928810457,-1.8640015188751127,-1.3221021288912613,-1.00928537950678
Ленск,2018,931.0,2018-05-08,931.0,2018-05-08,-12.0,943.0,125.57142857142857,-86.14285714285714,2018-05-05,3,39,28,566.0,677.5,-0.3899751917098171,-0.37379581226290026,-0.24630360270319246,-0.00805532203489665,0.31377890525685936,0.9769018913942629
Ленск,2019,885.0,2019-05-14,885.0,2019-05-14,18.0,867.0,113.0,-77.71428571428571,2019-05-11,3,22,15,566.0,677.5,-0.6136866033219959,-0.594239496417944,-0.6409085841090977,-0.38611843620605174,-0.6451858388989355,-0.1457256965063265
Ленск,2020,1098.0,2020-05-05,1098.0,2020-05-05,0.0,1098.0,136.71428571428572,-97.57142857142857,2020-05-01,4,39,16,566.0,677.5,0.4221944982735276,0.42651060629997595,0.5584828725325353,0.32704607461680935,0.31377890525685936,-0.05936972820628117
Ленск,2021,821.0,2021-06-10,821.0,2021-06-10,27.0,794.0,98.0,-63.142857142857146,2021-05-14,27,29,12,566.0,677.5,-0.9249372629563316,-0.900943752633657,-1.0199370530910856,-0.8372164701602709,-0.25031800307007884,-0.40479360140646253
Ленск,2022,841.0,2022-05-12,841.0,2022-05-12,-4.0,845.0,111.14285714285714,-43.714285714285715,2022-05-10,2,53,21,566.0,677.5,-0.8276714318206017,-0.8050986725662467,-0.7551363418844913,-0.44196866898133613,1.1035145769145729,0.3724101132939455
Ленск,2023,1351.0,2023-05-15,1351.0,2023-05-15,74.0,1277.0,174.28571428571428,-125.42857142857143,2023-05-13,2,52,22,566.0,677.5,1.6526072621405108,1.6389508691527166,1.4878814471596014,1.4569392453783292,1.047104886081879,0.45876608159399085
Олёкминск,2008,816.0,2008-09-05,779.0,2008-06-11,40.0,739.0,84.57142857142857,-25.571428571428573,2008-05-13,29,41,23,602.6999999999998,700.0,-0.5646515031955138,-0.635835442726882,-0.582815543541824,-0.5089436546733813,0.46336616394892766,0.5485671571703193
Олёкминск,2009,920.0,2009-06-11,920.0,2009-06-11,42.0,878.0,91.28571428571429,-70.28571428571429,2009-05-02,40,41,31,602.6999999999998,700.0,0.33018668853528144,0.42908271524776226,0.46165002361129165,-0.20829508569114788,0.46336616394892766,1.2237267352260972
Олёкминск,2010,1076.0,2010-05-18,1076.0,2010-05-18,46.0,1030.0,116.71428571428571,-57.285714285714285,2010-05-11,7,22,10,602.6999999999998,700.0,1.6724439761314742,1.6072900389643898,1.6037994207859216,0.9303314096032661,-0.6037801530243603,-0.5485671571703193
Олёкминск,2011,1048.0,2011-05-09,1048.0,2011-05-09,41.0,1007.0,116.0,-100.42857142857143,2011-05-03,6,16,7,602.6999999999998,700.0,1.4315260014347218,1.395816929579354,1.43097418305555,0.8983475192860075,-0.9407737268053986,-0.801751998941236
Олёкминск,2012,1011.0,2012-06-11,1011.0,2012-06-11,46.0,965.0,125.71428571428571,-46.857142857142854,2012-05-11,31,73,44,602.6999999999998,700.0,1.1131701062997272,1.1163703207491285,1.1153802706783496,1.3333284276007273,2.260665224114465,2.320861049566736
Олёкминск,2013,951.0,2013-05-09,951.0,2013-05-09,50.0,901.0,125.14285714285714,-28.428571428571427,2013-05-06,3,31,17,602.6999999999998,700.0,0.5969173033781147,0.6632136577811947,0.6344752613416633,1.3077413153469204,-0.09828979235280284,0.04219747362848611
Олёкминск,2014,638.0,2014-05-02,638.0,2014-05-02,59.0,579.0,74.14285714285714,-38.42857142857143,2014-04-29,3,2,0,602.6999999999998,700.0,-2.096201485196298,-1.7007536007015263,-1.7850780668835398,-0.9759084533053604,-1.7270920656278212,-1.3925166297400415
