period,year,month,station_id,station_name,tmean_month,tmean_z,precip_month,precip_z,winter_thaw_days,winter_thaw_z,max_daily_precip,signals,triggered_parameters,risk_points,severity
2014-05,2014,5,24944,Олёкминск,10.49,2.36,4.3,-1.27,0,,2.2,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2014-06,2014,6,24343,Жиганск,22.9,4.25,65.9,1.46,0,,22.7,аномально тёплый месяц,tmean_z ≥ 2,1,экстремальная
2014-06,2014,6,24688,Оймякон,11.7,-1.01,73.7,1.74,0,,15.0,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2014-07,2014,7,24959,Якутск,20.01,-0.4,74.6,2.25,0,,27.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2015-01,2015,1,24343,Жиганск,-35.64,0.34,27.6,1.97,0,,8.0,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2015-01,2015,1,30230,Киренск,-17.75,2.05,23.7,0.5,0,,3.1,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2015-01,2015,1,24688,Оймякон,-38.11,3.44,9.4,1.09,0,,1.6,аномально тёплый месяц,tmean_z ≥ 2,1,экстремальная
2015-02,2015,2,24959,Якутск,-27.66,2.19,9.8,0.1,0,,2.4,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2015-03,2015,3,24343,Жиганск,-18.29,0.56,49.7,2.62,0,-0.26,9.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2015-05,2015,5,30230,Киренск,8.48,0.34,82.1,3.9,0,,29.6,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2015-06,2015,6,24959,Якутск,15.54,-1.99,50.2,1.75,0,,18.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2015-07,2015,7,24343,Жиганск,16.27,-0.09,84.9,1.74,0,,16.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2015-10,2015,10,24688,Оймякон,-12.7,0.03,33.9,4.25,0,-0.41,6.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2015-11,2015,11,24944,Олёкминск,-19.28,0.06,11.4,-1.95,1,2.46,1.9,много дней оттепели,month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,2,умеренная
2015-12,2015,12,24343,Жиганск,-34.16,1.06,28.1,2.4,0,,5.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2015-12,2015,12,24944,Олёкминск,-23.56,2.77,23.3,0.4,0,,2.7,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2016-01,2016,1,24266,Верхоянск,-38.64,3.2,13.7,2.89,0,,2.0,аномально тёплый месяц; аномально влажный месяц,tmean_z ≥ 2; precip_z ≥ 2 или precip_month ≥ P95,2,экстремальная
2016-02,2016,2,30230,Киренск,-18.14,0.98,34.3,3.1,0,-0.26,10.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2016-02,2016,2,24944,Олёкминск,-25.96,-0.1,28.8,2.1,0,,3.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2016-06,2016,6,24266,Верхоянск,13.08,-1.05,64.9,1.77,0,,17.8,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2016-07,2016,7,24959,Якутск,18.06,-2.18,73.1,2.13,0,,21.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2016-08,2016,8,24266,Верхоянск,10.62,-1.44,51.6,1.9,0,,17.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2016-10,2016,10,24266,Верхоянск,-10.07,1.16,33.8,2.05,1,-0.2,8.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2017-01,2017,1,24343,Жиганск,-36.34,0.17,24.4,1.32,0,,4.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2017-03,2017,3,24266,Верхоянск,-17.89,2.7,2.4,-0.62,1,,1.2,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2017-03,2017,3,24343,Жиганск,-13.4,2.25,19.5,-0.06,1,,3.2,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2017-03,2017,3,24959,Якутск,-10.79,2.74,4.7,-0.51,1,1.93,2.5,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2017-05,2017,5,24266,Верхоянск,2.59,-1.4,40.0,1.74,0,,16.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2017-05,2017,5,24343,Жиганск,0.5,-1.53,47.9,2.32,0,,10.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2017-09,2017,9,24959,Якутск,7.54,0.9,67.2,4.14,0,,27.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2017-11,2017,11,24266,Верхоянск,-31.32,0.37,39.6,8.72,0,,9.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2017-11,2017,11,24688,Оймякон,-35.57,-0.93,27.8,3.1,0,,3.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2017-11,2017,11,24944,Олёкминск,-20.86,-0.39,37.4,2.87,0,-0.48,9.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2017-12,2017,12,30230,Киренск,-24.47,0.13,46.7,2.25,0,-0.26,4.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2018-01,2018,1,30230,Киренск,-25.73,0.1,32.9,2.05,0,,4.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2018-01,2018,1,24688,Оймякон,-45.75,-0.12,14.5,3.71,0,,3.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2018-01,2018,1,24944,Олёкминск,-29.55,0.23,25.9,2.74,0,,3.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2018-02,2018,2,24688,Оймякон,-34.56,2.46,14.1,1.49,0,,2.2,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2018-03,2018,3,24688,Оймякон,-28.87,-0.41,11.0,2.33,0,,4.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2018-06,2018,6,24944,Олёкминск,16.2,-0.37,83.1,4.2,0,,20.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2018-07,2018,7,30230,Киренск,15.68,-2.68,100.7,1.58,0,,23.6,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2018-09,2018,9,24266,Верхоянск,2.06,-0.72,48.6,2.5,0,,11.6,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2018-10,2018,10,24266,Верхоянск,-8.54,2.18,10.3,-0.56,0,-0.88,3.4,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2019-02,2019,2,24959,Якутск,-30.37,0.82,18.7,2.26,0,,2.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2019-04,2019,4,24688,Оймякон,-7.19,2.37,6.0,-0.0,0,-0.71,4.5,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2019-08,2019,8,24959,Якутск,15.84,-0.17,60.2,1.3,0,,26.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2019-11,2019,11,24688,Оймякон,-28.51,2.05,7.8,-1.01,0,,1.5,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-01,2020,1,24944,Олёкминск,-20.79,2.42,24.0,1.93,0,,2.7,аномально тёплый месяц; аномально влажный месяц,tmean_z ≥ 2; precip_z ≥ 2 или precip_month ≥ P95,2,умеренная
2020-01,2020,1,30230,Киренск,-16.58,2.44,17.1,-0.44,0,,2.5,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-01,2020,1,24959,Якутск,-32.17,1.47,18.8,2.55,0,,3.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2020-03,2020,3,30230,Киренск,-6.05,1.18,22.4,1.99,6,1.74,3.6,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2020-05,2020,5,24688,Оймякон,4.13,-0.28,40.6,2.7,0,,12.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2020-06,2020,6,24266,Верхоянск,19.17,2.64,13.4,-1.04,0,,7.1,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-09,2020,9,24343,Жиганск,7.3,2.53,18.9,-1.04,0,,6.5,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-09,2020,9,24944,Олёкминск,10.1,3.1,23.3,-1.21,0,,14.3,аномально тёплый месяц,tmean_z ≥ 2,1,экстремальная
2020-09,2020,9,24959,Якутск,9.07,2.38,6.0,-1.53,0,,2.3,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-10,2020,10,24266,Верхоянск,-9.24,1.68,17.4,0.16,5,3.07,4.0,много дней оттепели,month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,2,экстремальная
2020-10,2020,10,24343,Жиганск,-8.25,-0.21,41.6,-0.45,7,3.37,7.7,много дней оттепели,month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,2,экстремальная
